Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Number of Chromosomes	Assembly Stats Number of Contigs	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_041735015.1	Iowa-C.bilis 2	Campylobacter bilis	2691918		63					GCF_041735015.1-RS_2024_09_04	1	1	Complete Genome	06.09.2024		1
GCF_964026535.1	ikSiaLuta1.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Sialis lutaria	2029164					54817		GCF_964026535.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964026605.1	idPtyAlbi3.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Ptychoptera albimana	3066260					54729		GCF_964026605.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964027055.1	iyNomFlav1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada flava	3066205					54683		GCF_964027055.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964026995.1	idBraScut1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Brachyopa scutellaris	3066140					54607		GCF_964026995.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964028425.1	iyRhoExst1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Rhorus exstirpatorius	3066213					54693		GCF_964028425.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964028605.1	iyLasFulv3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum fulvicorne	3066201					54678		GCF_964028605.1-RS_2024_06_28	1	1	Complete Genome	28.06.2024		1
GCF_964026705.1	iyNomGood2.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Nomada goodeniana	3066207					54686		GCF_964026705.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964028245.1	icPogHisp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pogonocherus hispidulus	3066136					54602		GCF_964028245.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_006542295.1	ASM654229v1	Wolbachia endosymbiont of Carposina sasakii	2591635					wCauA		GCF_006542295.1-RS_2025_01_08	1	1	Complete Genome	02.07.2019		1
GCF_029981845.1	ASM2998184v1	Candidatus Bandiella numerosa	2570586					SAG 25.80_endo		GCF_029981845.1-RS_2025_01_08	2	2	Complete Genome	11.05.2023		2
GCF_016592615.1	ASM1659261v1	Isorropodon fossajaponicum endosymbiont JTNG4	1235284		JTNG4					GCF_016592615.1-RS_2025_04_30	1	1	Complete Genome	09.12.2020		1
GCF_964026895.1	iyCepSpin2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Cephus spinipes	3077920					e20df307-6f54-4e82-89af-22e3eee53e7b		GCF_964026895.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_963966195.1	iyNomHirt1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Nomada hirtipes	3066208					54687		GCF_963966195.1-RS_2025_01_08	1	1	Complete Genome	05.04.2024		1
GCF_947251555.1	iyMacEuro1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Macropis europaea	2954028					26643		GCF_947251555.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_947250795.1	iyNomFabr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada fabriciana	2954033					26543		GCF_947250795.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_918342435.1	Wolbachia_endosymbiont_of_CSFBv1	Wolbachia endosymbiont of Psylliodes chrysocephala	2883236					Wolbachia_endosymbiont_of_Psylliodes chrysocephala_genome		GCF_918342435.1-RS_2025_01_08	1	1	Complete Genome	24.06.2022		1
GCF_964028445.1	iyAndTrim1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Andrena trimmerana	3066193					54802		GCF_964028445.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964026955.1	iyLasVill1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum villosulum	3066202					54679		GCF_964026955.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_947251425.1	idProAzur1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Protocalliphora azurea	2954050					26563		GCF_947251425.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964030655.1	idPoeNobi2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Poecilobothrus nobilitatus	1209220					54766		GCF_964030655.1-RS_2025_04_24	1	1	Complete Genome	25.04.2024		1
GCF_964019365.1	iyOphElle1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ophion ellenae	3066210					54690		GCF_964019365.1-RS_2025_01_08	1	1	Complete Genome	05.04.2024		1
GCF_947250765.1	idGymRotn1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Gymnosoma rotundatum	2954016					26628		GCF_947250765.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_964028285.1	idVilCing2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Villa cingulata	3066157					54627		GCF_964028285.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964026965.1	idVolBomb1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Volucella bombylans	3066158					54628		GCF_964026965.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964264755.1	idNemUlig1.Tisiphia_sp_2.1	Candidatus Tisiphia endosymbiont of Nemotelus uliginosus	3077926					bfb7841a-240b-4c34-bc6c-d4ad7471d104		GCF_964264755.1-RS_2025_01_08	1	1	Complete Genome	22.09.2024		1
GCF_900638485.1	57728_B01	Helicobacter cholecystus	45498		NCTC13205					GCF_900638485.1-RS_2024_12_13	1	1	Complete Genome	20.12.2018		1
GCF_947251575.1	ilYpoPlub1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Yponomeuta plumbellus	2954068					26583		GCF_947251575.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964263245.1	icPolForm1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Polydrusus formosus	3139326					995c39d1-0117-465c-80e3-e7618475d57f		GCF_964263245.1-RS_2024_09_14	1	1	Complete Genome	15.09.2024		1
GCF_964188425.1	ilScrOcel1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Scrobipalpa ocellatella	3139320					478e0bb9-0ecb-47ac-881a-ca4a80744db3		GCF_964188425.1-RS_2025_01_08	1	1	Complete Genome	20.07.2024		1
GCF_964026755.1	iyCamRapt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Campoletis raptor	3066196					54671		GCF_964026755.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_024029595.1	ASM2402959v1	Fructilactobacillus cliffordii	2940299		KI4_B1					GCF_024029595.1-RS_2025_03_29	2	2	Complete Genome	29.06.2022		2
GCF_018831625.1	ASM1883162v1	Spiroplasma endosymbiont of 'Nebria riversi'	2792084					Nriv7		GCF_018831625.1-RS_2024_08_13	2	2	Complete Genome	10.06.2021		2
GCF_964030905.1	idStuBell1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sturmia bella	3139315					c2567c9b-9adc-464d-97b6-172a321e6e32		GCF_964030905.1-RS_2025_05_01	1	1	Complete Genome	01.05.2025		1
GCF_964026715.1	iyAndBuce1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Andrena bucephala	3066189					54663		GCF_964026715.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_002355955.1	ASM235595v1	Candidatus Desulfovibrio trichonymphae	1725232		Rs-N31					GCF_002355955.1-RS_2024_12_13	1	1	Complete Genome	08.11.2016		1
GCF_018467135.1	ASM1846713v1	Wolbachia endosymbiont of Drosophila santomea	260917		wSan			KB161		GCF_018467135.1-RS_2025_01_08	1	1	Complete Genome	24.05.2021		1
GCF_947250645.1	ilEucCana1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Eucosma cana	2954012					26624		GCF_947250645.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_964277345.1	iyTheTumi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Therophilus tumidulus	3066214					54695		GCF_964277345.1-RS_2025_01_08	1	1	Complete Genome	31.10.2024		1
GCF_947250575.1	idEpiBalt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Episyrphus balteatus	2954009					26621		GCF_947250575.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_963969245.1	iyOphCost1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ophion costatus	3066209					54689		GCF_963969245.1-RS_2025_01_08	1	1	Complete Genome	05.04.2024		1
GCF_964027005.1	iyOxyArmt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Oxytorus armatus	3066211					54691		GCF_964027005.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_947250525.1	ilColCroc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Colias croceus	2953998					26608		GCF_947250525.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_018467115.1	ASM1846711v1	Wolbachia endosymbiont of Drosophila yakuba	260915		wYak			KB166		GCF_018467115.1-RS_2025_01_08	1	1	Complete Genome	24.05.2021		1
GCF_964027035.1	idPhaObes1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Phasia obesa	3066151					54621		GCF_964027035.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964028525.1	idPorMacu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Portevinia maculata	3066155					54625		GCF_964028525.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964026835.1	ilDenPini1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Dendrolimus pini	3066171					54642		GCF_964026835.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_014896945.1	ASM1489694v1	Candidatus Bodocaedibacter vickermanii	2741701					Lake Konstanz		GCF_014896945.1-RS_2024_06_22	1	1	Complete Genome	19.10.2020		1
GCF_964277405.1	icCanCryp2.Wolbachia_sp_1.1	Wolbachia endosymbiont of Cantharis cryptica	3066132					54598		GCF_964277405.1-RS_2025_01_08	1	1	Complete Genome	31.10.2024		1
GCF_947251955.1	idCorMarg1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Coremacera marginata	2953999					26609		GCF_947251955.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964028555.1	idPipVidu3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pipizella viduata	3066154					54624		GCF_964028555.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_947251605.1	ilEmmMono1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Emmelina monodactyla	2954003					26613		GCF_947251605.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964030825.1	icPolPter2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Polydrusus pterygomalis	3139327					f60024fe-efdc-4729-9a9f-f0b2b2b8ca61		GCF_964030825.1-RS_2025_05_01	1	1	Complete Genome	01.05.2025		1
GCF_002288325.1	ASM228832v1	Candidatus Planktophila lacus	1884913					MMS-IIB-106		GCF_002288325.1-RS_2025_03_17	1	1	Complete Genome	08.09.2017		1
GCF_964030985.1	icNotBigu1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Notiophilus biguttatus	3066285					54805		GCF_964030985.1-RS_2025_04_24	1	1	Complete Genome	25.04.2024		1
GCF_964027095.1	idMacAtri3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Machimus atricapillus	3066147					54615		GCF_964027095.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_947250015.1	idAcrOrbc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Acrocera orbiculus	2953971					24838		GCF_947250015.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_964019975.1	ilMonLaev2.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Monopis laevigella	3066312					54807		GCF_964019975.1-RS_2025_04_05	1	1	Complete Genome	05.04.2024		1
GCF_964031125.1	idMelOmis1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Melieria omissa	3139311					a2fa28e8-5e5e-4f79-9d59-2cf332417a2e		GCF_964031125.1-RS_2025_05_01	1	1	Complete Genome	01.05.2025		1
GCF_008245065.1	ASM824506v1	Wolbachia endosymbiont of Chrysomya megacephala	1335053					wMeg		GCF_008245065.1-RS_2025_01_08	1	1	Complete Genome	03.09.2019		1
GCF_964019705.1	idPanRudi1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Panzeria rudis	3066301					54772		GCF_964019705.1-RS_2025_04_05	1	1	Complete Genome	05.04.2024		1
GCF_042182995.1	MDX_Wolbachia_wAnu_v1	Wolbachia endosymbiont of Anurida maritima	2850562					Wells-next-the-Sea 2021		GCF_042182995.1-RS_2025_01_08	1	1	Complete Genome	25.09.2024		1
GCF_964020025.1	idTipUnca1.Cardinium_sp_1.1	Cardinium endosymbiont of Tipula unca	3066216					54697		GCF_964020025.1-RS_2025_04_05	1	1	Complete Genome	05.04.2024		1
GCF_947250675.1	ilXesCnig1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xestia c-nigrum	2954067					26582		GCF_947250675.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_947251635.1	ihIcePurc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Icerya purchasi	2954019					26631		GCF_947251635.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964026985.1	iyIscInqu1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ischnus inquisitorius	3077922					b4da7fcc-0dab-454f-af50-850c80151fe5		GCF_964026985.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_012276695.1	ASM1227669v1	Candidatus Pelagibacter giovannonii	2563896		NP1					GCF_012276695.1-RS_2025_03_31	1	1	Complete Genome	13.04.2020		1
GCF_002288185.1	ASM228818v1	Candidatus Planktophila vernalis	1884907					MMS-IIA-15		GCF_002288185.1-RS_2025_03_17	1	1	Complete Genome	08.09.2017		1
GCF_002287965.1	ASM228796v1	Candidatus Planktophila dulcis	1884914					MMS-21-155		GCF_002287965.1-RS_2025_03_17	1	1	Complete Genome	08.09.2017		1
GCF_964026735.1	idNerComm1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group E) of Neria commutata	3066149					54619		GCF_964026735.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964031035.1	idEmpTess3.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Empis tessellata	3066259					54728		GCF_964031035.1-RS_2025_01_08	1	1	Complete Genome	25.04.2024		1
GCF_020995475.1	ASM2099547v1	Wolbachia endosymbiont of Corcyra cephalonica	218111					SYLI2103		GCF_020995475.1-RS_2025_01_08	3	3	Complete Genome	29.11.2021		3
GCF_964264765.1	idOpoGerm2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Opomyza germinationis	3077917					89027e9b-d844-430c-9e26-7eba6bca5bb3		GCF_964264765.1-RS_2025_01_08	1	1	Complete Genome	22.09.2024		1
GCF_947251645.1	idBibMarc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Bibio marci	2953987					26595		GCF_947251645.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_947250735.1	idSphTaen1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sphaerophoria taeniata	2954057					26570		GCF_947250735.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_947251565.1	ilPheGnom1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Pheosia gnoma	2954044					26558		GCF_947251565.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964028465.1	iyAleLepo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Aleiodes leptofemur	3077919					e4283616-c532-4c21-888c-bf0590fe71e3		GCF_964028465.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964028265.1	iyGasPulc2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Gastracanthus pulcherrimus	3066200					54677		GCF_964028265.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_947251845.1	iyAthCord1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Athalia cordata	2953986					26594		GCF_947251845.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_947251795.1	iyAnoNige1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Anoplius nigerrimus	2953979					26587		GCF_947251795.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_002288065.1	ASM228806v1	Candidatus Planktophila sulfonica	1884904					MMS-IA-56		GCF_002288065.1-RS_2025_03_17	1	1	Complete Genome	08.09.2017		1
GCF_007989425.1	ASM798942v1	Rickettsia asiatica	238800		Maytaro1284					GCF_007989425.1-RS_2025_01_08	2	2	Complete Genome	19.07.2019		2
GCF_964031155.1	icDroQuad1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Dromius quadrimaculatus	3066283					54753		GCF_964031155.1-RS_2025_04_24	1	1	Complete Genome	25.04.2024		1
GCF_964027015.1	idConQuad1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Conops quadrifasciatus	3066143					54611		GCF_964027015.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_964030705.1	ilAnaHort2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Anania hortulata	3139312					630233c3-339a-47e5-8dfb-8aec143c0feb		GCF_964030705.1-RS_2025_05_01	1	1	Complete Genome	01.05.2025		1
GCF_964027025.1	ilApoCapr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Apotomis capreana	3066165					54636		GCF_964027025.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_018141665.1	ASM1814166v1	Wolbachia endosymbiont of Spodoptera picta	2769078		Spic_B					GCF_018141665.1-RS_2025_01_08	1	1	Complete Genome	27.04.2021		1
GCF_964028505.1	iyAllPice1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Alloplasta piceator	3066188					54661		GCF_964028505.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964028225.1	ilUdeFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Udea ferrugalis	3066182					54655		GCF_964028225.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_947250725.1	ilParAegt1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Pararge aegeria	2954041					26557		GCF_947250725.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_964030675.1	ilScoAmbi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Scoparia ambigualis	3139319					5e25b08e-f56e-4351-ac6c-3c187bf049fe		GCF_964030675.1-RS_2025_05_01	1	1	Complete Genome	01.05.2025		1
GCF_964019715.1	idLonLute3.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Lonchoptera lutea	3066297					54768		GCF_964019715.1-RS_2025_04_05	1	1	Complete Genome	05.04.2024		1
GCF_947251725.1	iyTipFemo1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Tiphia femorata	2954063					26577		GCF_947251725.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_947251805.1	ilCelArgi3.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Celastrina argiolus	2953994					26603		GCF_947251805.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_002288365.1	ASM228836v1	Candidatus Planktophila limnetica	573600					MMS-VB-114		GCF_002288365.1-RS_2025_03_17	1	1	Complete Genome	08.09.2017		1
GCF_964028305.1	iyPhiTria1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Philanthus triangulum	3077924					03749ec7-5009-48c8-8c07-3c48459b7d42		GCF_964028305.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_002288145.1	ASM228814v1	Candidatus Planktophila versatilis	1884905					MMS-IA-105		GCF_002288145.1-RS_2025_03_17	1	1	Complete Genome	08.09.2017		1
GCF_964028595.1	ilFalLace1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Falcaria lacertinaria	3066176					54648		GCF_964028595.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964026915.1	idEriAene1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Eristalinus aeneus	3066145					54613		GCF_964026915.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_023559125.1	ASM2355912v1	Wolbachia endosymbiont of Ostrinia furnacalis	154048		wFur					GCF_023559125.1-RS_2025_01_08	1	1	Complete Genome	26.05.2022		1
GCF_964031185.1	iyCerRufi2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Cerceris ruficornis	3139309					e441e58d-dce3-4929-96e3-9519567a025a		GCF_964031185.1-RS_2025_05_01	1	1	Complete Genome	01.05.2025		1
GCF_023559145.1	ASM2355914v1	Wolbachia endosymbiont of Ostrinia scapulalis	183754		wSca					GCF_023559145.1-RS_2025_01_08	1	1	Complete Genome	26.05.2022		1
GCF_964264785.1	idTipPalu1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Tipula paludosa	3066295					54765		GCF_964264785.1-RS_2024_09_21	1	1	Complete Genome	22.09.2024		1
GCF_964031085.1	icAsaCurt1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Asaphidion curtum	3066281					54750		GCF_964031085.1-RS_2025_04_24	1	1	Complete Genome	25.04.2024		1
GCF_947251875.1	ilLycPhla1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Lycaena phlaeas	2954027					26642		GCF_947251875.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964264975.1	ihNeoLine5.Tisiphia_sp_1.1	Candidatus Tisiphia endosymbiont of Neophilaenus lineatus	3139336					dd7d07ce-ae12-4b1c-b5c2-ede9905169e6		GCF_964264975.1-RS_2025_01_08	1	1	Complete Genome	23.09.2024		1
GCF_964020175.1	icSilAtra2.Mesenet_sp_1.1	Candidatus Mesenet endosymbiont of Phosphuga atrata	3066221					54810		GCF_964020175.1-RS_2025_01_08	1	1	Complete Genome	05.04.2024		1
GCF_026015925.1	ASM2601592v1	Wolbachia endosymbiont of Drosophila pseudotakahashii	375919					Smith		GCF_026015925.1-RS_2025_01_08	1	1	Complete Genome	07.11.2022		1
GCF_947251975.1	ilHylFasc1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Hylaea fasciaria	2954017					26629		GCF_947251975.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_947251945.1	iyLasLatv2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Lasioglossum lativentre	2954023					26635		GCF_947251945.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964277465.1	iyNomRufp1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada rufipes	3077923					9f871ea7-3d01-4e6d-b2d7-051a93085788		GCF_964277465.1-RS_2025_01_08	1	1	Complete Genome	31.10.2024		1
GCF_964277395.1	icAblLaev2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Ablattaria laevigata	3077915					9e481cc8-f961-4285-b662-1d938901819c		GCF_964277395.1-RS_2025_01_08	1	1	Complete Genome	31.10.2024		1
GCF_964020065.1	iyLasMala1.Spiroplasma_sp_1.1	Spiroplasma endosymbiont of Lasioglossum malachurum	3066319					54788		GCF_964020065.1-RS_2025_04_05	1	1	Complete Genome	05.04.2024		1
GCF_947251695.1	iyEctCont1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Ectemnius continuus	2954002					26612		GCF_947251695.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964027105.1	iyNomFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Nomada ferruginata	3066204					54681		GCF_964027105.1-RS_2025_01_08	1	1	Complete Genome	20.04.2024		1
GCF_947251675.1	idMerWest1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Merzomyia westermanni	2954031					26541		GCF_947251675.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964028585.1	ilXanDesi1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Xanthorhoe designata	3066184					54658		GCF_964028585.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_964028275.1	ilAlcRepa2.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Alcis repandata	3066163					54634		GCF_964028275.1-RS_2025_01_08	1	1	Complete Genome	28.06.2024		1
GCF_021378375.1	ASM2137837v1	Wolbachia endosymbiont of Drosophila innubila	282263					11		GCF_021378375.1-RS_2025_01_08	1	1	Complete Genome	06.01.2022		1
GCF_947251665.1	iyTryClav1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Trypoxylon clavicerum	2954064					26578		GCF_947251665.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_947251505.1	ilThySylv1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Thymelicus sylvestris	2954062					26576		GCF_947251505.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_964273365.1	iyMelHaem1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Melitta haemorrhoidalis	3066203					54680		GCF_964273365.1-RS_2025_01_08	1	1	Complete Genome	31.10.2024		1
GCF_032849005.1	ASM3284900v1	Wolbachia endosymbiont of Zaprionus tsacasi	2603209					car7-4		GCF_032849005.1-RS_2025_01_08	1	1	Complete Genome	19.10.2023		1
GCF_017869285.1	ASM1786928v1	Wolbachia endosymbiont of Wiebesia pumilae	2742717					MIAOwWpum		GCF_017869285.1-RS_2025_01_08	1	1	Complete Genome	08.04.2021		1
GCF_964031055.1	ilSchGiga1.Wolbachia_sp_2.1	Wolbachia endosymbiont (group A) of Schoenobius gigantella	3139314					75d1ad39-67c9-4ebe-ba8f-17e5ae60923b		GCF_964031055.1-RS_2025_05_01	1	1	Complete Genome	01.05.2025		1
GCF_947250695.1	idEupLati1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group B) of Eupeodes latifasciatus	2954013					26625		GCF_947250695.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_947251515.1	idSicFerr1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Sicus ferrugineus	2954056					26569		GCF_947251515.1-RS_2025_01_08	1	1	Complete Genome	04.11.2022		1
GCF_004795975.1	ASM479597v1	Wolbachia endosymbiont of Drosophila mauritiana	109663		wMau					GCF_004795975.1-RS_2025_04_07	1	1	Complete Genome	16.04.2019		1
GCF_947250505.1	ilPhaBuce1.Wolbachia_sp_1.1	Wolbachia endosymbiont (group A) of Phalera bucephala	2954042					26549		GCF_947250505.1-RS_2025_01_08	1	1	Complete Genome	02.11.2022		1
GCF_042928915.1	Wolbachia	Wolbachia endosymbiont of Liriomyza huidobrensis	2867522		wLhui					GCF_042928915.1-RS_2025_01_08	1	1	Complete Genome	13.10.2024		1
